Longitude_deg,Latitude_deg,Elevation_m,Temperature_C
86.9,27.96,5357.3688,-4.9569
86.9005,27.96,5366.358,-5.0153
86.901,27.96,5375.6614,-5.0758
86.9015,27.96,5385.275,-5.1383
86.902,27.96,5395.1932,-5.2028
86.9025,27.96,5405.4094,-5.2692
86.903,27.96,5415.9154,-5.3374
86.9035,27.96,5426.7016,-5.4076
86.904,27.96,5437.7569,-5.4794
86.9045,27.96,5449.0688,-5.5529
86.9051,27.96,5460.6233,-5.6281
86.9056,27.96,5472.4048,-5.7046
86.9061,27.96,5484.3963,-5.7826
86.9066,27.96,5496.5793,-5.8618
86.9071,27.96,5508.9337,-5.9421
86.9076,27.96,5521.4381,-6.0233
86.9081,27.96,5534.0698,-6.1055
86.9086,27.96,5546.8045,-6.1882
86.9091,27.96,5559.6166,-6.2715
86.9096,27.96,5572.4796,-6.3551
86.9101,27.96,5585.3656,-6.4389
86.9106,27.96,5598.2456,-6.5226
86.9111,27.96,5611.0898,-6.6061
86.9116,27.96,5623.8675,-6.6891
86.9121,27.96,5636.5471,-6.7716
86.9126,27.96,5649.0967,-6.8531
86.9131,27.96,5661.4835,-6.9336
86.9136,27.96,5673.6746,-7.0129
86.9141,27.96,5685.637,-7.0906
86.9146,27.96,5697.3373,-7.1667
86.9152,27.96,5708.7425,-7.2408
86.9157,27.96,5719.8195,-7.3128
86.9162,27.96,5730.536,-7.3825
86.9167,27.96,5740.8599,-7.4496
86.9172,27.96,5750.7599,-7.5139
86.9177,27.96,5760.2057,-7.5753
86.9182,27.96,5769.1679,-7.6336
86.9187,27.96,5777.6182,-7.6885
86.9192,27.96,5785.5299,-7.7399
86.9197,27.96,5792.8774,-7.7877
86.9202,27.96,5799.6369,-7.8316
86.9207,27.96,5805.7863,-7.8716
86.9212,27.96,5811.3054,-7.9075
86.9217,27.96,5816.1758,-7.9391
86.9222,27.96,5820.3814,-7.9665
86.9227,27.96,5823.9079,-7.9894
86.9232,27.96,5826.7435,-8.0078
86.9237,27.96,5828.8787,-8.0217
86.9242,27.96,5830.3062,-8.031
86.9247,27.96,5831.0212,-8.0356
86.9253,27.96,5831.0212,-8.0356
86.9258,27.96,5830.3062,-8.031
86.9263,27.96,5828.8787,-8.0217
86.9268,27.96,5826.7436,-8.0078
86.9273,27.96,5823.9079,-7.9894
86.9278,27.96,5820.3814,-7.9665
86.9283,27.96,5816.1759,-7.9391
86.9288,27.96,5811.3054,-7.9075
86.9293,27.96,5805.7864,-7.8716
86.9298,27.96,5799.637,-7.8316
86.9303,27.96,5792.8776,-7.7877
86.9308,27.96,5785.5302,-7.7399
86.9313,27.96,5777.6189,-7.6885
86.9318,27.96,5769.1691,-7.6336
86.9323,27.96,5760.2078,-7.5754
86.9328,27.96,5750.7636,-7.514
86.9333,27.96,5740.8663,-7.4496
86.9338,27.96,5730.5469,-7.3826
86.9343,27.96,5719.8377,-7.3129
86.9348,27.96,5708.7725,-7.241
86.9354,27.96,5697.3862,-7.167
86.9359,27.96,5685.7155,-7.0912
86.9364,27.96,5673.7988,-7.0137
86.9369,27.96,5661.6772,-6.9349
86.9374,27.96,5649.3946,-6.8551
86.9379,27.96,5636.999,-6.7745
86.9384,27.96,5624.543,-6.6935
86.9389,27.96,5612.0855,-6.6126
86.9394,27.96,5599.6926,-6.532
86.9399,27.96,5587.4388,-6.4524
86.9404,27.96,5575.4083,-6.3742
86.9409,27.96,5563.6956,-6.298
86.9414,27.96,5552.4055,-6.2246
86.9419,27.96,5541.6527,-6.1547
86.9424,27.96,5531.5597,-6.0891
86.9429,27.96,5522.2537,-6.0286
86.9434,27.96,5513.8619,-5.9741
86.9439,27.96,5506.5048,-5.9263
86.9444,27.96,5500.2888,-5.8859
86.9449,27.96,5495.2967,-5.8534
86.9455,27.96,5491.578,-5.8293
86.946,27.96,5489.1394,-5.8134
86.9465,27.96,5487.9357,-5.8056
86.947,27.96,5487.8631,-5.8051
86.9475,27.96,5488.7557,-5.8109
86.948,27.96,5490.3854,-5.8215
86.9485,27.96,5492.4669,-5.835
86.949,27.96,5494.6673,-5.8493
86.9495,27.96,5496.6208,-5.862
86.95,27.96,5497.947,-5.8707
86.9,27.9605,5367.5196,-5.0229
86.9005,27.9605,5377.0887,-5.0851
86.901,27.9605,5386.9922,-5.1494
