Date,Open,High,Low,Close
29-05-2026,23902.15,24002.8,23484.75,23547.75
27-05-2026,23880.35,23983.2,23858.25,23907.15
26-05-2026,24004.1,24089.8,23885.45,23913.7
25-05-2026,23940.25,24054.45,23922.85,24031.7
22-05-2026,23671.2,23835.65,23671.0,23719.3
21-05-2026,23830.05,23859.9,23596.6,23654.7
20-05-2026,23457.25,23690.9,23397.3,23659.0
19-05-2026,23675.3,23782.3,23587.2,23618.0
18-05-2026,23482.2,23695.65,23317.1,23649.95
15-05-2026,23731.4,23839.3,23610.3,23643.5
14-05-2026,23530.25,23777.2,23426.55,23689.6
13-05-2026,23362.45,23582.95,23262.55,23412.6
12-05-2026,23722.6,23757.55,23348.4,23379.55
11-05-2026,23970.1,23997.45,23799.1,23815.85
08-05-2026,24233.65,24253.8,24126.65,24176.15
07-05-2026,24398.5,24482.1,24284.0,24326.65
06-05-2026,24171.0,24356.5,23997.9,24330.95
05-05-2026,24052.6,24081.7,23882.05,24032.8
04-05-2026,24063.55,24290.2,24004.75,24119.3
30-04-2026,23996.95,24087.45,23796.85,23997.55
29-04-2026,24096.9,24334.7,24059.95,24177.65
28-04-2026,23900.5,24050.2,23860.1,23995.7
27-04-2026,23950.4,24120.6,23890.1,24092.7
24-04-2026,24010.2,24050.8,23840.5,23897.95
23-04-2026,24250.3,24310.5,24110.2,24173.05
22-04-2026,24450.6,24520.4,24320.1,24378.1
21-04-2026,24420.5,24610.8,24390.2,24576.6
20-04-2026,24280.1,24410.5,24220.3,24364.85
17-04-2026,24165.9,24371.9,24110.5,24353.55
16-04-2026,24250.2,24310.4,24140.6,24196.75
